"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
15,1;15,1;1;1;1;1;0;0;-14936,3615603975;-0,691678524017334;
15,15;15,15;1;1;1;1;0;0;-14936,3615603975;-0,694056302309036;
15,2;15,2;1;1;1;1;0;0;-14936,3615603975;-0,696294233202934;
15,25;15,25;1;1;1;1;0;0;-14936,3615603975;-0,698355659842491;
15,3;15,3;1;1;1;1;0;0;-14936,3615603975;-0,700595751404762;
15,35;15,35;1;1;1;1;0;0;-14936,6977305862;-0,702571496367455;
15,4;15,4;1;1;1;1;0;0;-14937,143871342;-0,705571398139;
15,45;15,45;1;1;1;1;0;0;-14937,5900120977;-0,708675533533096;
15,5;15,5;1;1;1;1;0;0;-14938,0370469231;-0,711508020758629;
15,55;15,55;1;1;1;1;0;0;-14938,4831876788;-0,713687390089035;
15,6;15,6;1;1;1;1;0;0;-14938,9293284346;-0,715876072645187;
15,65;15,65;1;1;1;1;0;0;-14939,3754691903;-0,718630105257034;
15,7;15,7;1;1;1;1;0;0;-14939,821609946;-0,721701681613922;
15,75;15,75;1;1;1;1;0;0;-14940,2686447714;-0,723450258374214;
15,8;15,8;1;1;1;1;0;0;-14940,7147855271;-0,725529119372368;
15,85;15,85;1;1;1;1;0;0;-14940,8417434176;-0,728863701224327;
15,9;15,9;1;1;1;1;0;0;-14940,8417434176;-0,73238268494606;
15,95;15,95;1;1;1;1;0;0;-14940,8417434176;-0,735372602939606;
16;16;1;1;1;1;0;0;-14940,8417434176;-0,737480223178864;
16,05;16,05;1;1;1;1;0;0;-14940,8417434176;-0,73988065123558;
16,1;16,1;1;1;1;1;0;0;-14940,8417434176;-0,742196962237358;
16,15;16,15;1;1;1;1;0;0;-14941,1931127903;-0,744276493787766;
16,2;16,2;1;1;1;1;0;0;-14941,639253546;-0,746834129095078;
16,25;16,25;1;1;1;1;0;0;-14942,0853943018;-0,750556588172913;
16,3;16,3;1;1;1;1;0;0;-14942,5324291272;-0,753501430153847;
16,35;16,35;1;1;1;1;0;0;-14942,9785698829;-0,755281075835228;
16,4;16,4;1;1;1;1;0;0;-14943,4247106386;-0,756968781352043;
16,45;16,45;1;1;1;1;0;0;-14943,8708513944;-0,760605707764626;
16,5;16,5;1;1;1;1;0;0;-14944,3169921501;-0,76300784945488;
16,55;16,55;1;1;1;1;0;0;-14944,7640269755;-0,765652507543564;
16,6;16,6;1;1;1;1;0;0;-14945,2101677312;-0,768087804317474;
16,65;16,65;1;1;1;1;0;0;-14945,505210716;-0,770857408642769;
